NOME DA BARRAGEM DE MINERAÇÃO	NOME DO EMPREENDEDOR	CPF/CNPJ	LATITUDE	LONGITUDE	POSICIONAMENTO	UF	MUNICÍPIO	MINÉRIO PRINCIPAL	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	MÉTODO CONSTRUTIVO	CATEGORIA DE RISCO	DANO POTENCIAL ASSOCIADO	CLASSE	INSERIDA NA PNSB?
Kalunga	Vale S A Filial: Vale Manganês do Azul	33.592.510/0130-51	-6°06'45.100"	-50°18'29.900"	Sul do Equador	PA	PARAUAPEBAS	Minério de Manganês	21	1.662.946,63	Alteamento a jusante	Baixa	Média	C	Sim
LD1 - Lagoa de Disposição 01	Alcoa World Alumina Brasil Ltda.	06.167.730/0001-68	-2°30'02.500"	-56°10'00.500"	Sul do Equador	PA	JURUTI	Bauxita Grau Não Metalúrgico	24	2.879.251,38	Etapa única	Baixa	Média	C	Sim
LD2 - Lagoa de Disposição 02	Alcoa World Alumina Brasil Ltda.	06.167.730/0001-68	-2°29'47.800"	-56°10'25.700"	Sul do Equador	PA	JURUTI	Bauxita Grau Não Metalúrgico	24	3.037.180,56	Alteamento a jusante	Baixa	Média	C	Sim
LD3 - Lagoa de Disposição 03	Alcoa World Alumina Brasil Ltda.	06.167.730/0001-68	-2°29'45.200"	-56°11'16.840"	Sul do Equador	PA	JURUTI	Bauxita Grau Não Metalúrgico	14,8	6.024.760,00	Etapa única	Baixa	Média	C	Sim
LE - Lagoa de Espessamento	Alcoa World Alumina Brasil Ltda.	06.167.730/0001-68	-2°30'18.000"	-56°10'32.800"	Sul do Equador	PA	JURUTI	Bauxita Grau Não Metalúrgico	11,5	4.178.849,93	Etapa única	Baixa	Média	C	Sim
Pera Jusante	Vale S A Filial: Vale Carajas	33.592.510/0370-74	-6°02'49.900"	-50°08'34.500"	Sul do Equador	PA	PARAUAPEBAS	Minério de Ferro	51	4.249.278,83	Etapa única	Baixa	Alta	B	Sim
Pera Montante	Vale S A Filial: Vale Carajas	33.592.510/0370-74	-6°03'24.600"	-50°08'37.600"	Sul do Equador	PA	PARAUAPEBAS	Minério de Ferro	30	641.566,00	Etapa única	Baixa	Baixa	E	Sim
PONDES DE REJEITOS DO IGARAPÉ BAHIA	Vale S A Filial: Vale Minas Gerais	33.592.510/0217-47	-6°02'33.300"	-50°34'49.900"	Sul do Equador	PA	PARAUAPEBAS	Minério de Ouro Primário	25	12.000.000,00	Alteamento a jusante	Média	Alta	B	Sim
RP1	Mineração Paragominas S.A.	12.094.570/0004-10	-3°15'33.857"	-47°45'28.375"	Sul do Equador	PA	PARAGOMINAS	Bauxita Grau Metalúrgico	13,5	11.626.208,00	Alteamento a jusante	Baixa	Alta	B	Sim
SP1	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°40'58.500"	-56°25'05.400"	Sul do Equador	PA	ORIXIMINÁ	Argila	15	1.470.000,00	Etapa única	Baixa	Média	C	Sim
SP10	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°41'00.600"	-56°27'09.600"	Sul do Equador	PA	ORIXIMINÁ	Argila	16	7.300.000,00	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP11	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°40'57.500"	-56°27'47.800"	Sul do Equador	PA	ORIXIMINÁ	Argila	16	5.400.000,00	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP12	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°41'14.300"	-56°28'05.700"	Sul do Equador	PA	ORIXIMINÁ	Argila	15	3.600.000,00	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP13	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°41'34.600"	-56°28'02.300"	Sul do Equador	PA	ORIXIMINÁ	Argila	15	2.298.321,00	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP14	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°41'55.500"	-56°28'13.000"	Sul do Equador	PA	ORIXIMINÁ	Argila	15	2.200.000,00	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP15	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°41'59.600"	-56°28'31.500"	Sul do Equador	PA	ORIXIMINÁ	Argila	20	1.700.000,00	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP16	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°41'38.000"	-56°28'34.000"	Sul do Equador	PA	ORIXIMINÁ	Argila	20	8.900.000,00	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP2_3	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°41'04.900"	-56°24'13.300"	Sul do Equador	PA	ORIXIMINÁ	Argila	20	4.900.000,00	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP4 Norte	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°41'05.300"	-56°25'37.400"	Sul do Equador	PA	ORIXIMINÁ	Argila	19	7.107.205,40	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP4 Sul	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°41'26.200"	-56°25'37.100"	Sul do Equador	PA	ORIXIMINÁ	Argila	19	5.455.557,30	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP5 Leste	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°40'57.700"	-56°26'07.500"	Sul do Equador	PA	ORIXIMINÁ	Argila	19	6.994.486,60	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP5 Oeste	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°40'58.200"	-56°26'40.400"	Sul do Equador	PA	ORIXIMINÁ	Argila	19	9.274.798,90	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP6	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°40'34.800"	-56°25'27.400"	Sul do Equador	PA	ORIXIMINÁ	Argila	12	712.790,00	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP7A	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°40'17.600"	-56°26'03.100"	Sul do Equador	PA	ORIXIMINÁ	Argila	19	4.300.000,00	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP7B	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°40'11.000"	-56°26'24.300"	Sul do Equador	PA	ORIXIMINÁ	Argila	16	5.843.082,80	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP7C	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°40'10.900"	-56°26'41.600"	Sul do Equador	PA	ORIXIMINÁ	Argila	16	8.200.000,00	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP8	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°40'24.500"	-56°27'10.100"	Sul do Equador	PA	ORIXIMINÁ	Argila	16	11.900.000,00	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP9	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°40'29.700"	-56°27'39.300"	Sul do Equador	PA	ORIXIMINÁ	Argila	10	8.200.000,00	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
SP9A	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°40'06.700"	-56°27'44.100"	Sul do Equador	PA	ORIXIMINÁ	Argila	8	2.480.789,20	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
TP1	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°40'54.400"	-56°24'39.900"	Sul do Equador	PA	ORIXIMINÁ	Argila	15	8.500.000,00	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
TP2	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°40'35.400"	-56°26'16.800"	Sul do Equador	PA	ORIXIMINÁ	Argila	15	8.956.085,00	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
TP3	Mineracao Rio do Norte S A	04.932.216/0001-46	-1°41'16.000"	-56°28'21.000"	Sul do Equador	PA	ORIXIMINÁ	Argila	22	5.390.783,00	Alteamento por linha de centro	Baixa	Média	C	Sim
Bacia de Decantação Final No Bota Fora	Mineração Nossa Senhora do Carmo Ltda	83.647.750/0001-87	-24°44'54.630"	-49°11'16.070"	Sul do Equador	PR	CERRO AZUL	Fluorita	22	226.035,00	Alteamento a jusante	Média	Média	C	Sim
BARRAGEM SUL OU TANQUE VELHO	Mineração Tabiporã Ltda	79.066.841/0001-51	-25°22'13.821"	-49°41'27.099"	Sul do Equador	PR	CAMPO LARGO	Minério de Ouro Primário	25	302.000,00	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
Pinheirinho	Mineração Nossa Senhora do Carmo Ltda	83.647.750/0001-87	-24°44'52.790"	-49°11'40.930"	Sul do Equador	PR	CERRO AZUL	Fluorita	13,5	672.408,00	Etapa única	Média	Média	C	Sim
BARRAGEM DE REJEITOS	Cimento Tupi S.a.	33.039.223/0001-11	-22°27'18.200"	-44°17'10.300"	Sul do Equador	RJ	QUATIS	Argila Arenosa	19	204.000,00	Etapa única	Baixa	Alta	B	Sim
CA01	Metalmig Mineração Indústria e Comércio S A	34.456.038/0001-95	-9°25'54.500"	-63°03'19.900"	Sul do Equador	RO	ITAPUÃ DO OESTE	Aluvião Estanífero	5	105.000,00	Etapa única	Média	Alta	B	Sim
CA02	Metalmig Mineração Indústria e Comércio S A	34.456.038/0001-95	-9°25'53.900"	-63°03'19.900"	Sul do Equador	RO	ITAPUÃ DO OESTE	Areia	5	60.000,00	Etapa única	Média	Alta	B	Sim
Igarapé Mutum	Cooperativa de Garimpeiros de Santa Cruz Ltda	34.726.547/0001-90	-9°45'55.465"	-63°31'12.111"	Sul do Equador	RO	ARIQUEMES	Aluvião Estanífero	5	10.699.776,00	Etapa única	Média	Média	C	Sim
Jacaré Inferior	Cooperativa de Garimpeiros de Santa Cruz Ltda	34.726.547/0001-90	-9°47'16.100"	-63°34'30.600"	Sul do Equador	RO	ARIQUEMES	Aluvião Estanífero	8	3.595.017,00	Etapa única	Média	Média	C	Sim
Jacaré Medio	Cooperativa de Garimpeiros de Santa Cruz Ltda	34.726.547/0001-90	-9°47'43.800"	-63°33'55.000"	Sul do Equador	RO	ARIQUEMES	Aluvião Estanífero	8	3.020.623,00	Etapa única	Média	Alta	B	Sim
Jacaré Superior	Cooperativa de Garimpeiros de Santa Cruz Ltda	34.726.547/0001-90	-9°49'01.200"	-63°33'11.500"	Sul do Equador	RO	ARIQUEMES	Aluvião Estanífero	10	9.170.673,00	Etapa única	Média	Média	C	Sim
PIT-01	Estanho de Rondonia S A	00.684.808/0001-35	-9°12'57.800"	-63°04'33.600"	Sul do Equador	RO	ITAPUÃ DO OESTE	Aluvião Estanífero	14,3	288.321,80	Etapa única	Baixa	Alta	B	Sim
Rio Santa Cruz	Cooperativa de Garimpeiros de Santa Cruz Ltda	34.726.547/0001-90	-9°45'57.100"	-63°34'06.900"	Sul do Equador	RO	ARIQUEMES	Aluvião Estanífero	10	3.755.613,00	Etapa única	Média	Média	C	Sim
Taboquinha 01 - Crente	Estanho de Rondonia S A	00.684.808/0001-35	-9°11'54.200"	-63°04'49.000"	Sul do Equador	RO	ITAPUÃ DO OESTE	Aluvião Estanífero	18	435.000,00	Etapa única	Baixa	Média	C	Sim
Taboquinha 01 - Crente	Estanho de Rondonia S A	00.684.808/0001-35	-9°11'54.200"	-63°04'49.000"	Sul do Equador	RO	ITAPUÃ DO OESTE	Aluvião Estanífero	18	435.000,00	Etapa única	Baixa	Média	C	Sim
Taboquinha 02 - Serra Azul	Estanho de Rondonia S A	00.684.808/0001-35	-9°12'15.700"	-63°05'04.400"	Sul do Equador	RO	ITAPUÃ DO OESTE	Aluvião Estanífero	18	87.000,00	Etapa única	Baixa	Média	C	Sim
Taboquinha 03	Estanho de Rondonia S A	00.684.808/0001-35	-9°12'19.954"	-63°05'01.035"	Sul do Equador	RO	ITAPUÃ DO OESTE	Aluvião Estanífero	15	194.900,00	Etapa única	Média	Média	C	Sim
Taboquinha 04	Estanho de Rondonia S A	00.684.808/0001-35	-9°12'39.100"	-63°05'11.000"	Sul do Equador	RO	ITAPUÃ DO OESTE	Aluvião Estanífero	20	145.193,15	Etapa única	Média	Média	C	Sim
Bacia de Finos da Mina do Cerro	Copelmi Mineração Ltda	33.059.528/0001-95	-30°23'10.327"	-53°02'37.439"	Sul do Equador	RS	CACHOEIRA DO SUL	Carvão Mineral	10	534.000,00	Alteamento a montante ou desconhecido	Média	Média	C	Sim
Bacia de Finos da Mina do Recreio	Copelmi Mineração Ltda	33.059.528/0001-95	-30°08'44.381"	-52°00'13.591"	Sul do Equador	RS	BUTIÁ	Carvão Mineral	20	2.371.167,00	Alteamento a montante ou desconhecido	Média	Alta	B	Sim
Barragem CBC	Companhia Brasileira do Cobre	87.678.207/0001-06	-30°55'11.200"	-53°25'04.950"	Sul do Equador	RS	CAÇAPAVA DO SUL	Arenito	15	53.000.000,00	Etapa única	Média	Baixa	D	Sim
P1-1	Companhia Riograndense de Mineração	92.724.145/0001-53	-30°07'51.700"	-52°03'07.000"	Sul do Equador	RS	MINAS DO LEÃO	Carvão Mineral	3	17.250,00	Indefinido	Média	Média	C	Sim
Bacia A	Carbonifera Metropolitana Sa	83.647.917/0001-00	-28°29'31.600"	-49°27'37.000"	Sul do Equador	SC	TREVISO	Carvão Mineral Camada Bonito	5,3	14.679,90	Etapa única	Baixa	Alta	B	Sim
Bacia B	Carbonifera Metropolitana Sa	83.647.917/0001-00	-28°29'38.900"	-49°27'36.100"	Sul do Equador	SC	TREVISO	Carvão Mineral Camada Bonito	6,5	14.368,00	Etapa única	Baixa	Alta	B	Sim
Bacia de Acumulação 01	Carbonífera Siderópolis Ltda.	83.852.137/0001-00	-28°27'13.000"	-49°22'13.000"	Sul do Equador	SC	URUSSANGA	Carvão Mineral Camada Barro Branco	7,1	500.000,00	Etapa única	Média	Média	C	Sim
BACIA DE DECANTAÇÃO DA USINA RIO FIORITA	Gabriella Mineração Ltda	07.105.967/0001-87	-28°34'38.200"	-49°26'31.900"	Sul do Equador	SC	SIDERÓPOLIS	Carvão Mineral	3,5	35.742,00	Etapa única	Baixa	Média	C	Sim
Barragem Cruz de Malta	Indústria Carbonífera Rio Deserto Ltda	83.286.500/0001-69	-28°28'23.000"	-49°27'29.000"	Sul do Equador	SC	TREVISO	Carvão Mineral Camada Bonito	27	70.831,00	Etapa única	Baixa	Alta	B	Sim
Barragem Lauro Muller	Carbonífera Belluno Ltda.	83.163.576/0001-05	-28°24'34.600"	-49°25'39.900"	Sul do Equador	SC	LAURO MÜLLER	Carvão Mineral Camada Bonito	20	150.000,00	Etapa única	Média	Alta	B	Sim
Barragem Rio Fiorita	Carbonífera Belluno Ltda.	83.163.576/0001-05	-28°35'12.667"	-49°26'35.575"	Sul do Equador	SC	SIDERÓPOLIS	Carvão Mineral	10	527.420,00	Etapa única	Média	Alta	B	Sim
BOA VISTA	Carbonífera Catarinense Ltda	80.418.205/0001-20	-28°23'24.000"	-49°25'20.000"	Sul do Equador	SC	LAURO MÜLLER	Carvão Mineral Camada Bonito	35	63.469,61	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
NOVO HORIZONTE	Carbonífera Catarinense Ltda	80.418.205/0001-20	-28°23'34.190"	-49°27'53.610"	Sul do Equador	SC	LAURO MÜLLER	Carvão Mineral Camada Barro Branco	13	64.629,25	Etapa única	Baixa	Alta	B	Sim
Dique de Contenção de Salmoura	Mosaic Fertilizantes P&K S.A. Filial: Taquari Vassouras	33.931.486/0033-18	-10°39'28.100"	-37°01'47.400"	Sul do Equador	SE	ROSÁRIO DO CATETE	Silvanita	4	17.340,30	Etapa única	Baixa	Média	C	Sim
Dique de Resíduos Insóluveis	Mosaic Fertilizantes P&K S.A. Filial: Taquari Vassouras	33.931.486/0033-18	-10°39'26.400"	-37°01'52.500"	Sul do Equador	SE	ROSÁRIO DO CATETE	Silvanita	5,5	7.439,01	Etapa única	Baixa	Média	C	Sim
11 - DES	Mineração Jundu Ltda.	60.628.468/0001-57	-21°57'17.062"	-47°36'48.014"	Sul do Equador	SP	DESCALVADO	Argila	15	1.500.000,00	Alteamento a jusante	Baixa	Baixa	E	Sim
12 - DES	Mineração Jundu Ltda.	60.628.468/0001-57	-21°57'06.006"	-47°36'47.022"	Sul do Equador	SP	DESCALVADO	Argila	15	577.840,39	Alteamento a jusante	Baixa	Baixa	E	Sim
BACIA DE DECANTAÇÃO - PLANTA I	Geocal Mineração Ltda	00.255.910/0001-15	-23°24'04.442"	-46°55'09.256"	Sul do Equador	SP	SANTANA DE PARNAÍBA	Calcário Dolomítico	20	8.500,00	Etapa única	Média	Baixa	D	Sim
Barragem 1	Mosaic Fertilizantes P&K S.A. Filial: Cajati	33.931.486/0005-64	-24°41'30.000"	-48°07'30.000"	Sul do Equador	SP	CAJATI	Rocha Fosfática	33	5.301.026,00	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
Barragem 2	Mosaic Fertilizantes P&K S.A. Filial: Cajati	33.931.486/0005-64	-24°41'35.000"	-48°07'13.000"	Sul do Equador	SP	CAJATI	Rocha Fosfática	60	7.220.000,00	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
Barragem B12	Mosaic Fertilizantes P&K S.A. Filial: Cajati	33.931.486/0005-64	-24°43'00.000"	-48°06'00.000"	Sul do Equador	SP	CAJATI	Rocha Carbonática	13,5	3.200.000,00	Alteamento por linha de centro	Baixa	Alta	B	Sim
BARRAGEM DE CLARIFICAÇÃO	Territorial São Paulo Mineração Ltda	60.874.229/0001-87	-23°25'14.000"	-46°44'09.800"	Sul do Equador	SP	SÃO PAULO	Argila	25	659.323,59	Alteamento a jusante	Média	Alta	B	Sim
Barragem de Sedimentos da Pedreira Itapeti - BA1	Embu S.a Engenharia e Comércio	61.322.558/0001-88	-23°29'49.800"	-46°14'38.000"	Sul do Equador	SP	MOGI DAS CRUZES	Granito	27,36	375.000,00	Etapa única	Baixa	Alta	B	Sim
Barragem de Sedimentos da Pedreira Itapeti - BA2	Embu S.a Engenharia e Comércio	61.322.558/0001-88	-23°29'47.900"	-46°14'50.400"	Sul do Equador	SP	MOGI DAS CRUZES	Granito	9,64	154.433,29	Etapa única	Baixa	Alta	B	Sim
Barragem de Sedimentos da Pedreira Juruaçu - BA4	Embu S.a Engenharia e Comércio	61.322.558/0001-88	-23°24'34.400"	-46°43'52.400"	Sul do Equador	SP	SÃO PAULO	Granito	45	3.190.000,00	Alteamento a jusante	Baixa	Alta	B	Sim
Bom Retiro 2	MINERAÇÃO BOM RETIRO LTDA.	56.763.790/0001-11	-22°11'15.000"	-47°27'20.000"	Sul do Equador	SP	LEME	Argila	23,58	1.800.000,00	Alteamento a jusante	Baixa	Média	C	Sim
CIMPOR	Mosaic Fertilizantes P&K S.A. Filial: Cajati	33.931.486/0005-64	-24°42'25.000"	-48°06'54.000"	Sul do Equador	SP	CAJATI	Rocha Carbonática	60	6.340.000,00	Alteamento a montante ou desconhecido	Baixa	Alta	B	Sim
Dique 1 (Barragem 2 -Britagem)	PEDREIRA SARGON LTDA	60.101.300/0001-99	-23°21'20.600"	-46°16'58.500"	Sul do Equador	SP	SANTA ISABEL	Argila	14	74.135,00	Etapa única	Média	Média	C	Sim
Dique 3 (Barragem 1 - Portaria)	PEDREIRA SARGON LTDA	60.101.300/0001-99	-23°21'23.900"	-46°17'05.800"	Sul do Equador	SP	SANTA ISABEL	Argila	20	170.000,00	Etapa única	Média	Média	C	Sim
Guará 3	Extração de Areia e Pedregulho Cachoeira Ltda.	45.600.327/0001-32	-23°23'20.500"	-46°08'07.200"	Sul do Equador	SP	GUARAREMA	Argila	18	735.000,00	Etapa única	Baixa	Baixa	E	Sim
ITAPEVA	Samaca Ferros Ltda	16.682.218/0001-03	-24°15'13.500"	-48°54'57.500"	Sul do Equador	SP	RIBEIRÃO BRANCO	Minério de Estanho Primário	20	260.000,00	Alteamento a montante ou desconhecido	Média	Baixa	D	Sim
JBS1	EMPRESA DE MINERAÇÃO E ARTEFATOS DE CIMENTO JBS LTDA EPP	47.354.774/0001-84	-23°23'50.400"	-46°11'41.600"	Sul do Equador	SP	MOGI DAS CRUZES	Argila Arenosa	12	331.920,00	Alteamento a montante ou desconhecido	Média	Média	C	Sim
Lagoa 1	Mineração Darcy R. O. e Silva Ltda	45.369.188/0001-88	-21°25'58.030"	-47°36'47.670"	Sul do Equador	SP	SÃO SIMÃO	Argila Caulinítica	5	271.000,00	Etapa única	Baixa	Média	C	Sim
Lagoa 2	Mineração Darcy R. O. e Silva Ltda	45.369.188/0001-88	-21°25'49.220"	-47°36'47.000"	Sul do Equador	SP	SÃO SIMÃO	Argila Caulinítica	5	112.000,00	Alteamento a jusante	Média	Média	C	Sim
MBR II SUL	Mineracao Bom Retiro II Ltda	68.870.385/0001-81	-23°47'17.500"	-47°07'17.400"	Sul do Equador	SP	IBIÚNA	Areia	14,04	157.070,50	Alteamento a montante ou desconhecido	Baixa	Média	C	Sim
MD 01/2012	Mineração Descalvado Ltda	54.114.475/0001-38	-21°57'20.600"	-47°37'05.800"	Sul do Equador	SP	DESCALVADO	Areia Industrial	25	921.154,70	Alteamento por linha de centro	Baixa	Baixa	E	Sim
OURO BRANCO OESTE	MINERAÇÃO OURO BRANCO SALTO DE PIRAPORA LTDA ME	72.911.985/0001-18	-23°39'43.200"	-47°39'59.900"	Sul do Equador	SP	SALTO DE PIRAPORA	Argila	3	399.000,00	Etapa única	Média	Alta	B	Sim
TANQUE DE DECANTAÇÃO	Mineração do Vale Ltda	53.959.318/0001-60	-22°11'34.100"	-47°33'03.900"	Sul do Equador	SP	CORUMBATAÍ	Argila Arenosa	7	704.000,00	Alteamento a jusante	Média	Média	C	Sim
BARRAGEM DE CONTENÇÃO DE REJEITOS	Itafos Arraias Mineração e Fertilizantes S.a.	05.919.578/0001-60	-12°53'44.948"	-46°49'05.224"	Sul do Equador	TO	ARRAIAS	Fosfato	20,5	4.136.059,54	Alteamento a jusante	Baixa	Alta	B	Sim
189	Mineração Taboca S.a.	34.019.992/0001-10	-0°47'22.400"	-60°00'46.900"	Sul do Equador	AM	PRESIDENTE FIGUEIREDO	Minério de Estanho Primário	5	209.969,00	Etapa única				Não
22	Mineração Taboca S.a.	34.019.992/0001-10	-0°44'19.100"	-60°10'02.600"	Sul do Equador	AM	PRESIDENTE FIGUEIREDO	Minério de Estanho Primário	6	56.519,00	Etapa única				Não
30-1	Mineração Taboca S.a.	34.019.992/0001-10	-0°42'25.600"	-60°11'33.100"	Sul do Equador	AM	PRESIDENTE FIGUEIREDO	Minério de Estanho Primário	8	1.320,09	Etapa única				Não
42	Mineração Taboca S.a.	34.019.992/0001-10	-0°43'24.700"	-60°11'48.200"	Sul do Equador	AM	PRESIDENTE FIGUEIREDO	Minério de Estanho Primário	4,9	130.979,00	Etapa única				Não
68-1	Mineração Taboca S.a.	34.019.992/0001-10	-0°44'25.500"	-60°12'05.100"	Sul do Equador	AM	PRESIDENTE FIGUEIREDO	Minério de Estanho Primário	6	3.752,00	Etapa única				Não
69	Mineração Taboca S.a.	34.019.992/0001-10	-0°44'35.500"	-60°12'05.100"	Sul do Equador	AM	PRESIDENTE FIGUEIREDO	Minério de Estanho Primário	5	84.941,00	Etapa única				Não
75-1	Mineração Taboca S.a.	34.019.992/0001-10	-0°45'41.600"	-60°12'21.500"	Sul do Equador	AM	PRESIDENTE FIGUEIREDO	Minério de Estanho Primário	4	75.522,00	Etapa única				Não
Bacuri	Mineração Vila Nova Ltda	02.008.461/0001-36	0°22'46.200"	-51°43'22.000"	Norte do Equador	AP	MAZAGÃO	Minério de Cromo	5	650.000,00	Indefinido				Não
BARRAGEM DA USINA	Empresa de Mineração e Pesquisa do Amapá	14.572.101/0001-41	2°19'16.300"	-51°41'26.100"	Norte do Equador	AP	CALÇOENE	Minério de Ouro Primário	10	80.000,00	Indefinido				Não
Barragem de Clarificação de Água	Zamapá Mineração S.a.	05.857.559/0001-56	1°00'07.100"	-51°07'44.000"	Norte do Equador	AP	FERREIRA GOMES	Minério de Ferro	8	42.000,00	Indefinido				Não
Barragem do Felipe	Cadam S.a.	04.788.980/0001-90	-0°52'56.800"	-52°22'50.100"	Sul do Equador	AP	VITÓRIA DO JARI	Caulim	13	245.418,00	Etapa única				Não
Barragem do Muriacá	Cadam S.a.	04.788.980/0001-90	-0°53'37.200"	-52°21'50.700"	Sul do Equador	AP	VITÓRIA DO JARI	Caulim	10	52.000,00	Etapa única				Não
REJEITO USINA	AM Amapa Mineração Ltda	06.170.253/0001-90	2°17'09.000"	-51°38'00.000"	Norte do Equador	AP	CALÇOENE	Minério de Ouro Primário	5	82.000,00	Indefinido				Não
SAMACA	Mineração Vila Nova Ltda	02.008.461/0001-36	0°21'05.800"	-51°50'16.300"	Norte do Equador	AP	MAZAGÃO	Minério de Ferro	9	700.000,00	Indefinido				Não
BACIA DE SEDIMENTO DA USINA DE TRATAMENTO	Magnesita Mineração S.A.	00.592.603/0001-20	-14°14'01.600"	-41°43'10.900"	Sul do Equador	BA	BRUMADO	Magnesita	4,78	52.912,30	Etapa única				Não
BARAÚNA - PBC1	Mineração Caraíba S.a.	42.509.257/0001-13	-9°52'28.981"	-39°52'13.796"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	2	12.200,00	Alteamento a jusante				Não
BARAÚNA - PBC2	Mineração Caraíba S.a.	42.509.257/0001-13	-9°52'25.971"	-39°52'14.321"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	2	12.000,00	Alteamento a jusante				Não
BARAÚNA - PBC3	Mineração Caraíba S.a.	42.509.257/0001-13	-9°52'29.837"	-39°52'17.659"	Sul do Equador	BA	JAGUARARI	Minério de Cobre	2	8.500,00	Alteamento a jusante				Não
BARRAGEM DE DEPOSIÇÃO DE LAMA	XILOLITE S/A	62.477.088/0001-94	-14°05'52.550"	-41°41'21.140"	Sul do Equador	BA	BRUMADO	Argila	7	60.277,00	Alteamento a jusante				Não
Barragem de Rejeitos de Irecê	Companhia Baiana de Pesquisa Mineral	13.554.910/0001-68	-11°18'43.000"	-41°50'22.000"	Sul do Equador	BA	IRECÊ	Fosfato	4	235.467,89	Indefinido				Não
Barragem Santa Helena	Companhia Brasileira de Bentonita Ltda	04.885.978/0001-39	-14°48'40.373"	-41°00'17.917"	Sul do Equador	BA	VITÓRIA DA CONQUISTA	Bentonita	14	7.500,00	Alteamento por linha de centro				Não
BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BII	Magnesita Mineração S.A. Filial: FAZENDA PEDRAS PRETAS	00.592.603/0004-72	-11°15'36.450"	-39°21'27.250"	Sul do Equador	BA	SANTALUZ	Cromita	2	875	Etapa única				Não
BARRAGEM USINA SANTALUZ BENEFICIAMENTO - BIII	Magnesita Mineração S.A. Filial: FAZENDA PEDRAS PRETAS	00.592.603/0004-72	-11°15'38.500"	-39°21'27.250"	Sul do Equador	BA	SANTALUZ	Cromita	2	1.100,00	Etapa única				Não
BARRAGEM USINA SANTALUZ BENEFICIAMENTO BI	Magnesita Mineração S.A. Filial: FAZENDA PEDRAS PRETAS	00.592.603/0004-72	-11°15'36.800"	-39°21'27.250"	Sul do Equador	BA	SANTALUZ	Cromita	2	1.125,00	Etapa única				Não
Cava Camarinha	Cia de Ferro Ligas da Bahia Ferbasa	15.141.799/0001-03	-10°32'44.200"	-40°25'30.700"	Sul do Equador	BA	CAMPO FORMOSO	Cromita	14,6	29.688,00	Alteamento a montante ou desconhecido				Não
Cava Pedrinhas	Cia de Ferro Ligas da Bahia Ferbasa	15.141.799/0001-03	-10°32'42.000"	-40°24'52.400"	Sul do Equador	BA	CAMPO FORMOSO	Cromita	8,5	201.205,00	Alteamento por linha de centro				Não
